Complaint,Day,Time,Borough
667759098,23-Jul-16,1:45:00,BRONX
966100748,22-Jul-16,19:19:00,BROOKLYN
344002864,21-Jul-16,6:00:00,BRONX
767409636,21-Jul-16,0:02:00,BROOKLYN
466267917,20-Jul-16,1:25:00,BROOKLYN
406488668,19-Jul-16,23:53:00,BRONX
201700870,19-Jul-16,20:17:00,BROOKLYN
384853198,18-Jul-16,12:12:00,QUEENS
526807993,17-Jul-16,4:11:00,QUEENS
461457134,17-Jul-16,2:17:00,BROOKLYN
299070601,16-Jul-16,2:17:00,BRONX
809092061,15-Jul-16,0:14:00,QUEENS
634246019,10-Jul-16,0:40:00,BROOKLYN
193475489,9-Jul-16,2:11:00,BRONX
862723774,5-Jul-16,2:05:00,MANHATTAN
345567251,4-Jul-16,14:40:00,QUEENS
308756048,4-Jul-16,2:53:00,BRONX
313566147,4-Jul-16,0:06:00,BROOKLYN
981307325,3-Jul-16,17:00:00,BROOKLYN
122652748,3-Jul-16,16:40:00,BRONX
942649716,30-Jun-16,19:02:00,BROOKLYN
632177157,30-Jun-16,2:27:00,BROOKLYN
225765929,29-Jun-16,22:48:00,BROOKLYN
811663321,29-Jun-16,21:45:00,BROOKLYN
798201584,29-Jun-16,21:17:00,BRONX
937425141,26-Jun-16,8:15:00,BROOKLYN
661381714,26-Jun-16,0:01:00,QUEENS
740834077,23-Jun-16,23:17:00,MANHATTAN
306634418,23-Jun-16,22:48:00,BROOKLYN
816836420,23-Jun-16,16:42:00,BRONX
746410355,20-Jun-16,16:52:00,BRONX
808721940,19-Jun-16,18:25:00,BRONX
131566692,19-Jun-16,14:26:00,BROOKLYN
293368608,18-Jun-16,3:27:00,BRONX
797064293,17-Jun-16,23:18:00,BRONX
406209305,15-Jun-16,22:27:00,BROOKLYN
414961332,15-Jun-16,18:21:00,BROOKLYN
131747637,15-Jun-16,18:12:00,QUEENS
594624369,15-Jun-16,17:54:00,BROOKLYN
292423712,15-Jun-16,6:40:00,BRONX
349795653,12-Jun-16,19:15:00,QUEENS
595564854,12-Jun-16,2:58:00,BROOKLYN
768820475,11-Jun-16,23:35:00,BRONX
940101494,11-Jun-16,22:15:00,BRONX
482012333,11-Jun-16,21:39:00,BRONX
